AYPY,POM,杰克逊斯机场,147.218,-9.442,PG,巴布亚新几内亚,,,,,,
ZBTL,TGO,通辽,122.198,43.557,CN,中国,本机场位于西辽河与铁路交叉处，至西辽河1.2千米，铁路2.5千米。机场区域内地势平坦，净空良好，最高障碍物为通辽电厂烟囱，海拔高度397.9米。春季：少雨、气候干燥。多偏西大风，风速10？12米/秒。最大曾达28米/秒。风来时，常伴有风沙天气，尤以四月为最多，能见度可小于等于1千米。夏季：6？8月多雷阵雨，并伴有阵性大风，雷雨出现次数以六月份为多。全年低云、降雨天气一般多集中在夏季。秋季：天气晴朗，早晨多辐射雾，日出后消散。冬季：天气晴朗，小雪，干冷。常有西北大风。,,,,,
ZBUH,WUA,乌海,106.798,39.795,CN,中国,乌海民用机场位于内蒙古自治区西南部，东与鄂尔多斯高原接壤，西与阿拉善草原隔河相望，北连河套沃野，南接银川平原。黄河在机场场址西三千米处，从南向北流过。场地在由卓子山西麓到黄河边的一片微倾斜平原地区，自东向西自然降坡平均为2.5%。跑道东4.5千米以外是千里山山脉。千里山从宁夏石咀山市东北起Ж沿黄河绵延至内蒙古自治区的磴口县东南Ж山高平均在1500-2150米之间。机场南面有海渤湾市和乌达工业区。机场西面有包兰铁路、110国道和黄河，西隔黄河是乌兰布和大沙漠，沙丘起伏，地势较为平坦，平均海拔高度在1200米左右。乌海地处北温带大陆性气候区域，属于半干旱半荒漠气候带。年平均风速为3米/秒，十二月出现的西北风风速可达到9-13米/秒。雷暴多发生在6-9月，年平均雷暴日数16.9天。能见度小于1千米的天数，年平均为2.6天；能见度在1千米至10千米间的天数Ж年平均为26.3天。影响能见度的主要因素有烟、雾、低云、沙暴、扬沙和浮尘等。5-9月份为低云多出现的季节，月平均2.9天，云底高大都在200-700米；3-6月为沙暴出现的季节，扬沙年平均47.6天；浮尘年平均35.7天。,,,,,
ZBUL,HLH,乌兰浩特/依勒力特,122.008,46.193,CN,中国,机场位于大兴安岭东南麓、松辽平原西边的丘陵区域。机场周围地形起伏，机场区域内最高山为大青山，在机场磁方位250度/41千米处，海拔高为918米，场压高616米。机场西北16千米为察尔森水库，机场东为察尔森水库截流后的洮尔河河床。机场南面11.9KM处为成吉思汗庙。地标明显易见。       春秋两季为大风季节，以西北风为主，三、四月份最多。般风速均在10米/秒以上，最大可达30米/秒以上。六、月份为降雨季节，多地方性雷雨，一般出现在午后，但每次持续时间不长，移动方向由西向东，常伴有大风。      极端最高气温39.9度，极端最低气温-39.9度。,,,,,
ZBXH,XIL,锡林浩特机场,115.96,43.913,CN,中国,本机场位于锡盟丘陵草原之上，四周均有零星的平面山包，机场东南面山包较高。机场区域内最高山峰在机场南49.5KM处，高度为1418米。全年以偏西风为主，3-5月份为风季；冷锋过后，均有大风，平均风速10米/秒左右，阵风可达20米/秒以上，并伴有扬沙、浮尘或降雪，影响能见度，短时可降到1KM左右。全年降雨量小，10月份开始降雪，9月至次年5月为冰冻期。,,,,,
ZBYC,YCU,运城,111.033,35.117,CN,中国,运城地区属华北平原的丘陵区，四周群山环抱形成“运城盆地”。主要山脉有中条山、吕梁山、稷王山和孤山，中条山自东北向西逶迤横亘于机场东南侧。机场东侧有运城至太原铁路通过，西侧有运城至三门峡高速公路通过，北侧有“大运”高速通过，地标明显。机场位于张金村、西纽村、东纽村、陶村、大村、张孝村、上王庄村、丁家卓村、芦子村之间。在气温方面，年平均气温14.3度Ж年极端最高气温41.2度Ж年极端最低气温-19.8度Ж最热月平均气温33.2度。雷雨通常自4月下旬开始Ж6月渐多Ж至7-8月份最为旺盛Ж9月开始减少Ж且一般出现在西北方向Ж向东或东南方向移动Ж年平均雷暴日数为15天。最大积雪深度18厘米。4-7月为无霜期，年降水量400-700毫米，年平均降水量为550.8毫米。在风力和风向方面，全年风向以SE方向为最多，并主要出现在春秋季节，其次为SWS和NE方向；最大风多出现在SE方向，其中春季为16-22.3米/秒Ж夏季12-18米/秒Ж秋季12-17米/秒Ж冬季12-18.7米/秒Ж年平均日数为26天。能见度方面，当春秋季出现阴雨天气时，能见度较差；在春季，易出现扬沙天气；秋末易出现雾，年平均雾日数为11天。,,,,,
ZBYN,TYN,太原/武宿,112.628,37.747,CN,中国,本机场位于太榆公路西侧，西、北、东三面环山，距东北方向的山脚最近距离为7千米，西南方向地势平坦。1、全年多东风，日变化为夜间到早晨8、9点多为东风，日间多南风，冬春两季多西北风，最大平均风速为17米/秒，最大阵风曾达28米/秒。2、夏季（5-9月）午后多出现雷阵雨天气，气温下降，风速剧变3、秋冬两季多浓雾，霾，全年多烟，使能见度小于1600米。,,,,,
ZBYZ,RLK,巴彦淖尔/天吉泰,107.737,40.922,CN,中国,巴彦淖尔机场为黄河冲积平原，地面开阔平坦，地势从西南向东北微度倾斜。属于中温带半干旱大陆性气候，云雾少降水量少、风大、气候干燥，降雨量少且集中，蒸发强烈，干燥多风，温差变化大。年平均降水量141.0mm，主要集中在六、七、八月份，其中七月份最多，年蒸发量2240mm。年平均风速为3.6m/s，主导风向以西北西、西北方向主导风向为主，受季风影响比较显著，年无霜期130天。年雷暴日数为11.3天，主要集中在六、七、八月份。年最大积雪深度9cm，最大冻土深度为144cm。近年来，由于生态环境受到一定程度的破坏，沙尘暴次数有所增加，年平均风沙日数20天左右。,,,,,
ZGBH,BHY,北海福城机场,109.293,21.54,CN,中国,本机场西面和南面临海Ж周围净空良好Ж东面和南面地势平坦.西面有一些场压50米以下的烟囱Ж北和西北5-15千米有若干孤立山丘.东北和北面20千米外地势逐渐升高为丘陵和山峦Ж东北方向62千米的马子嶂Ж标高为701米Ж为航站区域内的最高障碍物.本地区属亚热带海洋性气候Ж以少云晴天为多Ж年平均雾日13.3天Ж年平均浆雨量1600毫米左右Ж年平均气温22.6度.夏季多雷暴Ж全年风向以北风为主Ж夏季台风盛行Ж最大风速达40米/秒以上.冬春季:冬季比较暖和Ж一月份平均气温14.3度Ж极端最低气温2度;雾日多出现在春末夏初Ж其次为11和12月;北部湾北部海面有平流雾Ж以2至4月份为多Ж春季尤以3月份为最多;风向多为北风.夏秋季:6至8月受海风调节Ж为雨季Ж多阵雨和雷暴Ж尤以8月份为多Ж降雨量占全年37%.6至8月日平均最高气温31.4度;多偏南风Ж对飞行影响最大的台风Ж主要发源于太平洋和菲律宾东部海面Ж其次发源于南海中部和南部海面Ж以向西Ж西北和北三条路径进入和影响本地区Ж风向不一Ж风速平均为12-29米/秒Ж极大为20-40米/秒及以上。,,,,,
ZGBS,AEB,百色/巴马,106.96,23.72,CN,中国,"    机场位于右江河谷，沿右江左右两侧约7千米的地形较为平坦，呈狭长带状分布。机场周围地势西北高东南低，东南与西南方向有右江，滇黔桂公路和南昆铁路贯穿，地标明显。机场南北两侧地形比较复杂，两侧7-9千米处均为标高400米以上成片的山，跑道南侧10千米左右进入700米以上成片的山脉。东北侧092o，25千米处有标高732.9米的山；西北侧301o，22千米处有标高540米的山。常年以东南风为主风向，其次为东东南风；静风（≤3.0m/s）频率为最高，大于15m/s的风为0。能见度小于800米的频率为0，小于1600米的频率为5.5％。年降水量主要集中在6－8月份；以7月份为最高。年平均气温为18－22℃，最冷月为1月，极端温度1.2℃；最热月为7月，极端温度为38.4℃。雷暴全年各月均有发生，历年雷暴日天数为78天，最多天数90天。",,,,,
ZGCD,CGD,常德/桃花源,111.64,28.918,CN,中国,本机场位于常德市西南方，地势较平坦，在机场东侧和西南方向2？3千米处有海拔高度60？150米的大片油茶山，呈南高北低之地势。沅江水系地标较明显，航站区域内最高山海拨1028米。跑道北端5.6千米处有条50万伏高压线横穿跑道中心延长线。全年风向：冬季为偏北风，夏季主要为偏南风，常年平均风速2.8米/秒。全年最高温度达39.8°C，最低温度为-11.2°C。冬季、春季多阴雨，月平均降水日数为5？15天。低云云高一般为100？300米左右，并常伴有恶劣能见度。冬季或初春早上多出现辐射雾，一般于10时后消散。受沅江水系影响，春末夏初和秋初常出现受系统天气影响的雷暴云。本场极端最高QNH值为1045.0HPAЖ大于或等于1031HPA的年平均天数为16.5天;本场极端最低QNH值为995.1HPAЖ小于或等于979HPA的年平均天数为0天。,,,,,
ZGDY,DYG,张家界/荷花,110.443,29.103,CN,中国,本场为构造剥蚀垄状丘陵地形，海拨高度250？260米，山脊延伸方向东北？西南向。地形坡度15°？25°，是北部低矮的屏障。场区南侧为构造溶蚀中低谷山区，海拔标高多在1000米左右，最高点(天门山)1518米，山脊延伸方向东北？西南向。地形坡度一般30°？50°，多悬崖峭壁，是机场南侧的高屏障。从整个地形看机场处于南侧高屏障和北侧低屏障之间，南北障碍物对飞行影响较大。全年风向：主导风为东、西风，风向以东北东风为主，其次是西西北风。常年风速一般小于5米/秒，平均风速为1.5米/秒，二分钟最大风速17米/秒，瞬间风速34米/秒。最高气温达40.5°C。最低气温-4.0°C，最热月的最高气温的月平均值为33.2°C。年平均降雨量为1357.8mm，年平均降雨日数为154.7天，雨量集中在4？8月。雷暴年平均日数为48.3天；雾全年1？12月都能出现，一般多在秋冬季出现，以12月为最多，年平均雾日数为21.7天，36%的雾在九点前消散，87%的雾在11点前消散。本场极端最高QNH值为1042.7HPAЖ大于或等于1031HPA的年平均天数为35天;本场极端最低QNH值为998.3HPAЖ小于或等于979HPA的年平均天数为0天。,,,,,
ZGGG,CAN,广州白云机场,113.31,23.393,CN,中国,机场位于珠江三角洲北端Ж花都市东面约8千米Ж附近散布着一些村庄和孤立小山丘Ж其中南面和西南面净空较好Ж北面5？6千米内有海拔高度70米以下的横枝沥等若干山丘，东北方向4？9千米有220米以下的山头；西面有西岭雷达天线、广播天线塔和花都电视塔等高大人工障碍物。除南面和西南面外，其他方向9千米以外地形逐渐增高至海拔高度300？600米的丘陵地带，其中以位于跑道北端延长线上，距跑道北端约12.5千米，海拔高度400米左右的鸡山山梁，和距跑道北端约16千米，海拔高度531.24米的羊石顶对飞行影响最大。东北、北面和西面约50千米以外逐渐进入南岭山区，出现1000米以上的高山。年平均气温21.9℃，极端最高气温为38.1℃，极端最低气温为0.4℃，一年之中气温最高的月份是7月为28.8℃Ж最低的月份是1月为13.2℃；年平均降雨量为1776.9mm，年最大降雨量为2750.7mm，年最小降雨量为1074.8mm，一年之中降雨量最多的月份是5月为303mm，最少的是12月为32.6mm；年平均降水日数为156天，年最多降水日数为210天，年最少降水日数为125天，一年之中降水日数最多的月份是6月为19.6天，最少的是11月为5.5天；年平均出现雷暴日数为80.5天，年出现雷暴多日数为115天，最少为57天，一年之中雷暴多集中出现在4-9月份以8月份出现最多为15.3天，12月份出现最少为0天，初雷一般在2月27日，终雷一般在10月12日；1959？2002年间，曾出现冰雹10次、龙卷风6次；一般情况下，冬季吹偏北风，春季由偏北风逐渐转吹偏东或偏南风，夏季吹偏南风（有时吹偏西风），秋季由偏南风或偏西风逐渐转吹偏北风，各风向具体分布为：偏北风33.7%，偏南风17.8%，静风16.8%，偏东风13.9%，东南风5.9%，东北风5.0%，偏西风3.0%，西南风2.0%，西北风2.0%。,,,,,
ZGHA,HHA,长沙黄花机场,113.22,28.188,CN,中国,机场位于湘东盆地，地形较为平坦，净空良好，西北为洞庭湖水系，河流湖泊较多，东南丘陵广布，唯东北地势较高；机场西面京广铁路，湘江纵贯南北，浙赣、湘黔铁路横跨东南；公路以长沙市为中心伸向四面八方，城市、村庄分布零散，故点壮、线状地标较多，而且明显。全年风向：冬半年主要为偏北风，夏半年主要为偏南风，常年平均风速2.7米/秒；全年最高温度达40.6°C，最低为-11.3°C。冬春季多阴雨，月平均降水10--15天，低云一般为100--300米左右并伴有恶劣能见度，冬和春早上多出现辐射雾。约九点后消散，春末夏初和秋初常出现受系统天气影响的雷暴雨。本场极端最高QNH值为1042.0HPA，大于或等于1031HPA的年平均天数为28天，本场极端最低QNH值为990.5HPA，小于或等于979HPA的年平均天数为0。,,,,,
ZGKL,KWL,桂林/两江,110.038,25.218,CN,中国,本场南北和东面地势比较好。距机场约10千米，西和西北方向为南北走向山峦起伏的天平山脉，地势逐渐增高，山高在海拔600-1800米，最高点为海拔1804米，对飞行影响较大，西面毗邻洛清江，周围地标较为明显。春季（3--5月）：进入春季后多复杂天气；多为阴雨天，持续时间长，最长可达十多天，云高通常在200米左右，雷雨多在午后及夜间。早晨多雾，九时以后逐渐消散，降水多集中在4、5、6月。夏季（6--8月）：午后多热雷暴，常在机场西南及西北方出现，并伴有阵性降水及瞬间大风，热雷暴多集中在7--8月，风向以东北风为主，最大风速16米/秒。秋季（9-11月）：多为晴天。冬季（12-2月）：多为稳定性阴天，有时伴有小雨，有6--7级偏北风，有时可达十级。本场极端最高QHN值为1040.1HPA，大于或等于1031HPA的年平均天数为16天。本场极端最低QHN值为996.4HPA。,,,,,
ZGLG,LLF,永州零陵,111.61,26.338,CN,中国,机场位于丘陵地带，西部和南部多山，东北部较平坦，以跑道中心20千米内标高均在500米以下，区域内最大标高真宝顶海拔2123米，距跑道中心253度、84千米处。机场位于湘江东岸，湘江由南向北通过，潇水由南向北于零陵处汇合于湘江，湘桂铁路由东北向西南从机场区域中部通过，周围公路干线较多，地标明显。本地区属亚热带大陆季风气候，具有四季分明、雨量充沛、雨季明显、夏秋旱、冬冷夏热等气候特点。年平均气温17.8°C，极端最高39.1°C，极端最低零下8.5°C；年平均雨日157.3天，年平均降水量1346.6毫米，年平均雷暴日57天，年平均大风（大于17米/秒）日5.1天，能见度小于1千米日数年平均17.2天，能见度小于4千米日数年平均155.6天。春季（3--5月）：冷空气活动频繁，平均每月3--4次，最多的6次，冷空气影响时，温度变化大，日平均气温可降幅度一般为5--10°C。有强寒潮侵入时，常伴有大风、暴雨、雷暴天气。此季度湿度大，多阴雨、云雾。平均每月雨日15--20日。夏季（6--8月）：天气炎热少雨，南风大，日最高气温在30°C以上的天数平均每年70-76天，初夏多暴雨，盛夏多干旱。秋季（9--11月）：雨少，晴天多，气候干爽。9月多干旱，雨量比夏季明显减少，平均雨量在90毫米以下。中秋后常受北方冷空气影响气候转凉，冷空气侵入时常带来秋风秋雨，由于冷空气势力不断加强，气温随之显著下降，月平均气温在13-20°C。冬季（12--次年2月）：气候较寒冷，平均每月有2--3次寒潮。当其影响时，碎云多，发展快，一般云底高200--250米，最低时云底高80米左右。,,,,,
ZGMX,MXZ,梅县/长岗岌,116.098,24.265,CN,中国,本机场位于粤东山区，梅州盆地南部，梅州市区位于机场北面5千米，梅江自北环绕机场西南而过，东面有梅汕公路。盆地西南面为起伏的山丘，其余均为绵延的山峦所环抱。东南面为莲花山脉，其主峰铜鼓嶂，位于机场114°、28千米处，海拨高度1559米，为50千米半径范围内最高障碍物。跑道两端延长线上的山峦对飞机起降影响较大，东北面7.8千米处地势逐渐增高，至15千米处为横排山峦，山顶海拔高度为600-720米；西南方向有猫石头顶，位于跑道西南端外约5千米，偏离跑道中心延长线西北约1千米，海拔高度310米。本地区属亚热带季风气候，冬夏季比较分明，冬季极端最低气温为-7.3°C，夏季极端最高气温为39.5°C，雨量较丰，年降水量为1473毫米。降雪、结冰、大风(大于八级)和冰雹日数均极少，影响飞行的天气现象主要为雷暴、降气性低云和雾。雷暴主要集中在3？9月份，低云主要集中在1？6月份，雾主要集中在11？2月份，其次是3？4月份。全年风向主要为北风，其次为西南风和东南风。秋冬季：(10？1月)：天气较好，主要天气现象是低云和雾，多在6？11时出现。风向以北风为主。春季:(2？3月)：天气较差，主要天气现象是低云，多出现在白天，持续时间长，上午有时出现雾，上半夜常出现雷暴。风向以北风为主。初夏季(4？6月)：为全年天气最差时期，主要天气现象是雷暴和低云，多出现在7？9时，13？19时。雷暴活动急剧增加，强烈，且持续时间长；低云出现也相当频繁。此外出现少量雾日。多西南风和东南风。盛夏、初秋季（7？9月）：天气较差，是雷暴活动最旺盛时期，多出在14？20时。多西南风。,,,,,
ZGNN,NNG,南宁/吴圩,108.173,22.61,CN,中国,本机场位于南宁市西南28千米处，周围大部分为丘陵地带，西北和东面有约300--400米的小山丘，南和西南面地势较为平坦。全年气候温和多雨，风向以偏东南风为主，风速平均2-3米/秒。冬春季（1-4月）：多层积云，冬末春初，低温阴雨多雾，常出现阴雨绵绵，雨雾交错的低云，低能见度天气，云高一般在100-200米，最低可达50米，能见度常小于2千米。夏季（4-9月）：多积状云，4、9两月天气复杂多变，雷雨云和其它云常混在一起不易识别；5-9月午后常有热雷雨出现，6-8月常受台风影响。秋季（10-12月）：多晴天。,,,,,
ZGOW,SWA,揭阳/潮汕,116.762,23.428,CN,中国,本区西北部地势较高，多为山区，东南部地势较低，为潮汕平原且濒于南海。机场附近为水网地带，地势平坦，居民点密集。本区域内的显著地标：北有韩江和汤溪水库，东有南沃岛，南有海岸线，西有榕江、牛田洋和汕头市等。机场处于东南沿海，属亚热带海洋气候，空气潮湿，雨水充沛，风速一般较大，低云、碎云、雾雷雨较多。冬末春初（1--3月）：一半以上时间为稳定性层积云                                       天气。春末夏初（4--6月）：天气多变，危险天气（低云、                                       大雾、积雨云）较多。夏末秋初（7--9月）：多为对流云、雷雨频繁，云中                                       常有颠簸。秋末冬初（10--12月）：大部分为晴天。,,,,,
ZGSD,ZUH,珠海/金湾,113.377,22.007,CN,中国,本场位于三灶岛的东南部，地形比较复杂，其西北侧紧靠丘陵山区，约2.4千米处有本岛的最高山，海拔为298米拦浪山，东侧约2.8千米处有海拔为86.6米的雷达山，西南端和东北端为海湾沙滩地带，地势较为平坦。本机场属海洋性气候，常年雨量充沛，年平均气温22°C，最高气温37.3°C，最低气温1.7°C，相对湿度年平均达81%，大雾不长。春季：多低云和恶劣能见度。多半出现在华南沿海有静止锋的形势下，此种天气云高经常在100米左右，能见度1？2千米，维持时间数天，要到冷空气增厚，静止锋南推海上，或暖湿气流加强，静止锋北退到内陆，低云才抬高消散，能见度好转。夏、秋季：多雷雨和台风。4？6月多静止锋与低槽雷雨，出现时在后半夜至清晨和午后以前。7？8月为副热带高压控制下的热对流雷雨，一般出现在午后对流发展最盛的情况下，经常伴有阵风。9月底已有冷空气入侵，雷雨的出现与锋面活动有密切关系。6？11月为台风影响和侵袭季节，其中7月下旬至8月最多，9月份次之。每次台风天气可维持1？2天，对本场危害最大的是台风前沿和东北方向来的雷雨，一般多出现在16点左右，此种雷雨的特点是强度强，发展快并伴有平均在17米/秒左右，最大达32米/秒的大风，降水量大，能见度短时很坏，对起降和停场飞机危害大，但此种雷雨维持时间不长，约1小时左右。冬季：受大陆冷高压控制，多偏北风，是一年里飞行的最好季节，常晴空万里的好天气可持续几天或十几天。,,,,,
ZGSZ,SZX,深圳/宝安,113.808,22.64,CN,中国,本机场位于珠江口东侧岸边滩涂上，北为珠江三角洲平原，南临香港地区，东、东南为丘陵地带，西面是珠江口海域。目视盘旋和起落航线宜在西侧进行。机场区域内最高山为羊台山，海拔587米，距机场东南端延长线上16.7千米有蛇口南山，海拔336米。本机场属亚热带季风气候，全年雨量充沛，年平均降水量为1899.3毫米，月最大降水量为365.4毫米。夏季雷雨盛行，全年平均雷暴日数为71天，尤以八月份最多，雷雨多形成于西北部和东部丘陵山区。季风明显，春夏主导风为偏南风，秋冬多为偏北风。每年5月至11月为台风季，年平均9次。二月至四月份为全年低云量最多的季节，多为低碎月；盛夏以对流云为主；十月至翌年一月，云量较少，多为好天气。年平均雾日为5天。,,,,,
ZGWZ,WUZ,梧州,111.247,23.455,CN,中国,本机场位于长洲岛，属丘陵山区，呈橄榄形，走向为西南至东北，最高标高为60.1米，最低沟谷标高为19米，山形多呈北面象长条状，山丘顶部地形较平缓，西江自西环绕机场四面而过。东面有白云山，位于机场070°、9.3千米处，海拔高度367米，北面有蜈蚣山和鸡喇顶，位于机场北面019°、3.4千米和359°1l.5千米处Ж海拔高度168.6米和340.7米，对飞机起飞着陆影响较大。本地区属亚热带南部的季风气候，具有夏季长、冬季短，雨量充沛，日照充足，常年多雾，春夏多雷，大风频繁等特点。冬春季：冬季比较短，约15天，一日平均气温12.0°C，极端最低气温-0.5°C，山坡多，河宽，平地少，雾多，而且多河雾，年平均雾日为38天，主导风向为东北风。夏秋季：夏季受台风低涡的影响多阵雨和雷暴大风天气，夏季气温高，极端最高气温39.7°CЖ出现在7月，雨量主要集中在5-8月，平均降雨量为1443毫米，极大风速为36.6米/秒Ж夏季以东风为主，秋季以东北为主导风向。,,,,,
ZGZH,LZH,柳州/白莲,109.392,24.21,CN,中国,机场周围环山，其东西南三面石山起伏连绵。机场西面湘桂铁路，平行于机场穿过；东面柳武公路，柳江纵贯南北，线状地标较明显。柳州处在广西中部，东面是南北走向的大瑶山区，与西面云贵高原余脉的丘陵山地构成天然的“柳州走廊”，北接狭长的融江河谷，南边开阔的柳黎平原。为冬半年影响广西的主要通道之一。地势北高南低，地形如朝南开的喇叭。柳州机场处在亚热带内，气候特征是：空气湿润，多低云，春季出现低于400米的碎云时机较多，使飞行受到一定程度的影响和限制。常年能见度良好（除冬、春季上午7时到10时由于烟和幅射雾影响外），在地形的影响下，风速不大，夏季多南风，其他季节多北风，大于45°的侧风极少。雷暴较多，雨水充沛而集中，春季多阴雨，夏季夜间多晴朗，秋季多晴天，冬季天气稳定，历年最低气温为？2.9°C，最高气温为39.4°C。,,,,,
ZGZJ,ZHA,湛江,110.358,21.217,CN,中国,本机场位于湛江西北5千米处，东北至南面为广州湾、地势平坦。湛江市内有海拔高度123米的电视塔，西南、西面为丘陵地带，地势偏高，有100米（高出场面）左右的小山丘。春季：(2？4月中旬)多低云大雾天气，其中二月中旬至三月底，碎云最多，并且多和大雾连在一起。当有静止锋在雷州半岛时，湛江机场出现阴雨天气，云高一般只有100米左右，二月中旬至四月中旬，多出现平流雾，以三月份为最多，平均有8天大雾，个别月份，最多可达17天。地面多吹东北东至东南东风，风力平均为2？4米/秒。夏、秋季：(5？10月)多雷暴阵雨天气，雷暴以热力性为主，五至八月份为最多，平均每月有16？18天，个别月份最多可达27天。地面多吹东南东至东南风，风力平均2？3米/秒。台风每年平均有1？2个月在湛江市附近登陆，当受台风影响时，伴有大风和暴雨。冬季(11？1月)，天气较好，多中高云。风向多北至东北风，风力平均2？4米/秒。大雾不多，平均每月雾日约两天。,,,,,
ZHCC,CGO,郑州/新郑,113.84,34.52,CN,中国,本机场位于郑州市南偏东，位于山前倾斜平原的岗、洼地。机场以西及西南30千米进入丘陵、山区，其它方向地形平坦，净空条件良好，机场以西约2.5千米处为京广电气化铁路，南邻密祀公路，地标明显。郑州属于大陆性温带，半湿润季风气候。一年四季分明，一般特点是冬季寒冷多雨雪，春季干旱多风沙，夏季炎热雨丰沛，秋季晴和日照足。冬春季（12-５月）：冷空气活动频繁，一般多风沙、浮尘、雾、低云，风向东北，能见度较差，对飞行影响较大；夏季（６-８月）：冷空气强度减弱，副高明显活跃，常因切变线造成降雨和雷暴天气；秋季（８-11月）：总特点为天气较好，秋高气爽，对飞行有利。,,,,,
ZHHH,WUH,武汉天河机场,114.208,30.783,CN,中国,本机场位于武汉市汉口的北偏西，处于江汉平原东部边缘，属低垄岗倾斜平原，地形平坦，净空条件良好，机场以北30千米进入丘陵和山区，机场东北10千米是京广铁路，目标明显。武汉地处长江中游，南北冷暖天气系统均可影响本地区，四季分明，气候温和。春季：气温变幅大，阴雨频繁，受南北冷暖气流影响，表现的主要天气是阴雨多，能见度差。当北方强冷空气南下时，常发生大风、雷雨。有时还伴有小冰雹等强对流天气发生Ж低云高度一般在700米左右Ж能见度1-2千米。夏季：空气湿度大，常有梅雨发生，六月中旬至七月中旬是全年的降水集中期，常常发生保育、阴雨雷雨大风天气。七月中旬至八月，受副高南退只之际，常有雷雨或雷雨大风发生Ж且来势猛烈、强度大、范围窄、结束快。秋季：晴多雨少，秋高气爽，受大陆高压控制，天气晴好，偶尔出现阴雨绵绵天气，但能见度较好。冬季：天气寒冷，雨凇时见，以干冷气团控制为主，在北方较强冷空气南下时常有雨雪发生，一般3厘米左右，积雪期发生在1月1日至1月25日左右的25天内，当一次较强冷空气过后，一般有7天以上的晴好天气利于各种各种飞行。,,,,,
ZHLY,LYA,洛阳,112.387,34.742,CN,中国,本机场位于邙山岭上，地势较高，净空良好，但周围地形较复杂，跑道北面200米处有一条平行于跑道、高出道面2-5米的土坡。跑道东端净空道东面有一条南北走向的简易公路，低于道面2米；跑道西端净空道西有一条低于道面9米的低洼地带，机组着陆时应特别注意。全年盛行风向为北北东？东北东，占风向总次数的27%，其次为西？北北西，占风向总次数的23%，风力大于8级（16米/秒）以上多出现在1月份，平均有2.2天，最多年份，曾出现16级大风。极大风速1963年1月20日曾为40米/秒。年平均风速为2.5米/秒。降水量年平均604.5毫米，极大日降水量为110.7毫米（1964年7月27日），雨季在6？9月份。雷暴多出现在7？8月份，平均每月8天，最多时曾出现19天，最少时只有一次。全年平均26个雷暴日，最多51个，最少只有12个。雷暴最早出现在2月10日，最晚终止在11月18日。雾在10？12月较多，月平均0.6个雾日，5？7月雾较少，月平均0.2个雾日。全年平均0.5个雾日，最多年平均10个雾日，最少年份只有一个雾日。沙暴极少出现，10年平均只有0.5个沙暴日。,,,,,
ZHNY,NNY,南阳/姜营,112.613,32.98,CN,中国,南阳机场西3千米处为白河，白河以西为市区，本场西至西北20千米处开始为丘陵、山区，北30千米开始为丘陵和山区，东北、东南部50千米以外为丘陵和山区，机场位于南阳盆地之中。南南阳机场三面环山，气候温和而四季分明。春季：多低云，低能见度，降水逐渐增多，雷暴开始出现，本季节以东北风为主，风力较大。夏季（6-8月份）；天气炎热，降水多而集中，变化大，降水量占全年的50%左右。本季节多偏东南风。秋季：正是夏季季风转换过程，天气变化大，风向以偏南为主，风力不大，能见度较其它季节好。冬季：风向由偏南风转为偏东北风，风力较其它季节大，降雪多集中在1-2月份。本机场全年以东北风为主，平均风速3-4米/秒，最大风速18米/秒，大风多发生在春季。最近10年QNH极端最高值为1046HPA，极端最低为994.7HPA；大于等于1031HPA的年平均天数为48.8天，小于等于979HPA的年平均天数为0天。,,,,,
ZHSS,SHS,沙市机场*,112.28,30.323,CN,中国,本机场地处江汉平原、周围地形平坦，南、西南有沙市和长江，东和东北有长湖等湖泊，西面和南面人工障碍物较多，距机场较近，139米的热电厂烟囱对飞行影响最大。离机场中心磁方位297°、7880米处的荆州电视塔，高度223米，为半径15千米内最高障碍物。本机场处于长江中游河湖水网地带，空气潮湿，降水天气多，全年均可出现雾和低云，积雨云天气。夏季：入春后阴雨连绵，多低云，晴天常出现幅射雾。夏秋季：晨5时至12时常有雾；暑夏多雷雨Ж积雨云活动比较频繁，常在中午前后形成，一般由西南向东北移动；多南风，风力可达6？8米/秒以上。冬季：晴天常有幅射雾；寒潮来时有大风，风力可达8？11米/秒以上，最大可达23米/秒，并伴有雨和雪，但积雪一般不厚；低云高度一般100？300米，持续时间较长，对飞行影响较大。QNH≥1031HPA的年平均天数为14.6天ЖQNH≤979HPA的年平均天数为0天。QNH极端最高值为1043.3HPA，QNH极端最低值为988.4HPA。,,,,,
ZHXF,XFN,襄阳/刘集,112.292,32.152,CN,中国,本机场位于江汉平原西北部的汉江、唐河和白河汇合处，周围河流沟渠纵横，西北部是山区，地形起伏较大，有西北--东南走向的武当山脉，海拔1300--1800米，最高处1900米，其它方向为平原和丘陵地带。机场周围净空较好，汉丹和焦枝铁路在机场西南12千米处交叉，汉孟公路横卧于跑道南面，地标明显易辨。襄樊机场位于江汉平原，南北冷暖天气均可影响，年平均气温15.7°C，年平均最高气温32.4°C，年平均最低气温-1.3°C，年平均降水量870.7毫米，年平均雷暴天数44天，年平均雾日数20.5天，雾天一般多出现在9月至次年4月份，特别是11月到次年1月份出现机会较多，月平均3--4次，6月最少，平均0.4次，有35%左右的雾在11点钟以前消散，年降雪天数为12.9天。,,,,,
